<Phenotype>,Days.Flowering,Days.Maturity,Lodging,Chl.B,Total.Chl,Carotenoids,Yield
A285,50.66666667,91.16666667,4.166666667,14.87215629,38.57170319,5.102001829,723.2298088
A801,48,87,4.833333333,13.5429113,36.64226776,4.674091855,804.0135859
Abc_Weihing,46.33333333,84.16666667,3.333333333,15.70102114,38.11537159,3.490556801,623.112847
Abcp_15,47.83333333,89.16666667,7,14.44378151,37.96544338,4.462319281,912.9602588
Abcp_17,47,91.16666667,7.666666667,14.70446791,36.98774295,4.55687306,748.6222413
Abcp_8,48.16666667,94.33333333,8.666666667,12.62826459,35.50971295,4.78000993,924.7893667
Ac_Black_Diamond,46,95,1.666666667,18.39031638,41.32862168,2.771025334,979.4009949
Ac_Compass,47.33333333,90.83333333,2.666666667,10.3918526,32.20391402,5.317606962,923.1073475
Ac_Earlired,41.93461651,86.5,5,14.94835414,33.88137232,3.411303374,633.8268278
Ac_Early_Rose,45,89.66666667,5.166666667,10.2589164,30.28199335,4.476014084,854.4421356
Ac_Harblack,44.66666667,103,4.166666667,8.656239422,28.08632618,4.950488297,1003.98973
Ac_Island,47.5,99.5,3.333333333,12.50760979,34.85065876,5.057733511,962.5419341
Ac_Ole,47,92.83333333,4.166666667,13.12253653,34.92181214,4.15103536,936.7894736
Ac_Pintoba,47.33333333,99.5,5.666666667,13.74973806,35.35250224,3.793118242,832.6071449
Ac_Polaris,43.5,98.33333333,6.166666667,13.08855618,34.05971005,3.999273508,1141.822613
Ac_Redbond,46.33333333,87.83333333,3.666666667,12.45946066,34.7659025,4.677809585,934.5439467
Ac_Resolute,43.33333333,88.16666667,4.5,15.19605021,36.96874277,3.525431503,1069.718347
Ac_Scarlet,45.33333333,100.3333333,4.833333333,12.81304054,34.32936983,4.856015436,642.7350111
Aifi_Wuriti_55,46.39871683,107.4086005,2.581187243,9.970064935,32.92216956,6.01605081,649.8068284
Aifiwuriti,47.60128317,93.92473288,1.237420121,8.553641418,26.89166789,4.663202944,1382.991952
Albion,46.66666667,84.16666667,2.833333333,11.21722078,32.0300914,4.606152335,964.4118128
Amadeus_77,47.16666667,100.1666667,2.5,16.81044956,40.53481328,4.322844031,1039.464348
Apache,45,95.83333333,5.166666667,14.91390548,36.13697777,3.294821972,673.3448866
Arapaho,50,97.5,8.5,12.7200305,36.54754387,5.082919977,1068.459831
Arthur,47.33333333,88,3.5,11.36645093,34.6218285,5.554605076,871.7732275
Avalanche,46.66666667,86.33333333,1.833333333,10.05433875,31.32666541,5.26627273,1180.895609
Avanti,45.33333333,89.33333333,1.333333333,11.31010817,31.47953937,4.365487286,709.080445
