"","x"
"1",96
"2",79
"3",116
"4",97
"5",94
"6",58
"7",42
"8",31
"9",73
"10",80
"11",30
"12",105
"13",46
"14",50
"15",128
"16",120
"17",173
"18",2
"19",83
"20",36
"21",51
"22",62
"23",64
"24",54
"25",167
"26",197
"27",67
"28",5
"29",7
"30",4
"31",199
"32",33
"33",168
"34",175
"35",193
"36",86
"37",171
"38",179
"39",157
"40",53
"41",156
"42",77
"43",99
"44",195
"45",134
"46",14
"47",151
"48",44
"49",78
"50",15
"51",145
"52",140
"53",104
"54",95
"55",160
"56",184
"57",10
"58",180
"59",183
"60",112
"61",49
"62",18
"63",1
"64",144
"65",152
"66",63
"67",169
"68",70
"69",117
"70",123
"71",191
"72",56
"73",8
"74",103
"75",188
"76",21
"77",65
"78",138
"79",35
"80",43
"81",126
"82",68
"83",194
"84",187
"85",91
"86",40
"87",196
"88",149
"89",69
"90",189
"91",119
"92",81
"93",29
"94",84
"95",186
"96",28
"97",163
"98",61
"99",93
"100",17
"101",170
"102",66
"103",161
"104",111
"105",125
"106",102
"107",101
"108",177
"109",146
"110",23
"111",174
"112",47
"113",109
"114",13
"115",11
"116",85
"117",190
"118",182
"119",87
"120",200
"121",26
"122",75
"123",92
"124",192
"125",82
"126",153
"127",71
"128",178
"129",57
"130",165
"131",129
"132",122
"133",136
"134",48
"135",130
"136",124
"137",181
"138",107
"139",25
"140",100
"141",185
"142",55
"143",3
"144",27
"145",137
"146",115
"147",39
"148",38
"149",98
"150",114
"151",24
"152",90
"153",16
"154",176
"155",52
"156",6
"157",139
"158",88
"159",41
"160",22
"161",155
"162",37
"163",20
"164",59
"165",148
"166",143
"167",150
"168",131
"169",32
"170",158
"171",132
"172",154
"173",118
"174",113
"175",198
"176",9
"177",164
"178",142
"179",89
"180",159
