"","x"
"1",65
"2",134
"3",77
"4",114
"5",155
"6",191
"7",167
"8",50
"9",88
"10",16
"11",106
"12",66
"13",199
"14",159
"15",94
"16",163
"17",151
"18",146
"19",150
"20",87
"21",90
"22",57
"23",166
"24",56
"25",162
"26",89
"27",44
"28",71
"29",129
"30",51
"31",181
"32",99
"33",107
"34",105
"35",1
"36",182
"37",63
"38",122
"39",109
"40",19
"41",34
"42",43
"43",39
"44",145
"45",165
"46",70
"47",175
"48",53
"49",24
"50",158
"51",149
"52",18
"53",113
"54",148
"55",76
"56",111
"57",48
"58",193
"59",144
"60",127
"61",68
"62",195
"63",117
"64",6
"65",110
"66",124
"67",46
"68",26
"69",35
"70",84
"71",2
"72",75
"73",128
"74",184
"75",41
"76",131
"77",73
"78",100
"79",189
"80",62
"81",78
"82",61
"83",92
"84",30
"85",42
"86",133
"87",17
"88",120
"89",125
"90",59
"91",142
"92",103
"93",38
"94",33
"95",21
"96",200
"97",97
"98",143
"99",81
"100",9
"101",116
"102",123
"103",72
"104",14
"105",54
"106",169
"107",28
"108",8
"109",197
"110",25
"111",29
"112",147
"113",121
"114",186
"115",91
"116",27
"117",164
"118",187
"119",101
"120",196
"121",74
"122",160
"123",10
"124",174
"125",79
"126",172
"127",168
"128",36
"129",93
"130",156
"131",141
"132",102
"133",135
"134",192
"135",5
"136",45
"137",4
"138",180
"139",118
"140",31
"141",119
"142",104
"143",115
"144",98
"145",40
"146",139
"147",108
"148",80
"149",85
"150",3
"151",132
"152",86
"153",13
"154",12
"155",136
"156",22
"157",112
"158",47
"159",198
"160",130
"161",194
"162",64
"163",95
"164",37
"165",161
"166",178
"167",157
"168",177
"169",173
"170",82
"171",60
"172",154
"173",190
"174",55
"175",7
"176",67
"177",138
"178",137
"179",11
"180",188
