"","x"
"1",163
"2",21
"3",50
"4",171
"5",12
"6",36
"7",88
"8",144
"9",154
"10",51
"11",136
"12",70
"13",52
"14",79
"15",7
"16",138
"17",49
"18",1
"19",63
"20",92
"21",62
"22",24
"23",73
"24",18
"25",47
"26",141
"27",10
"28",43
"29",119
"30",114
"31",78
"32",55
"33",67
"34",85
"35",133
"36",22
"37",195
"38",3
"39",31
"40",176
"41",74
"42",9
"43",101
"44",178
"45",177
"46",54
"47",37
"48",113
"49",23
"50",139
"51",98
"52",129
"53",80
"54",122
"55",26
"56",137
"57",33
"58",117
"59",29
"60",19
"61",160
"62",35
"63",148
"64",186
"65",170
"66",165
"67",77
"68",82
"69",94
"70",146
"71",135
"72",57
"73",152
"74",95
"75",40
"76",126
"77",115
"78",127
"79",128
"80",99
"81",116
"82",157
"83",120
"84",166
"85",91
"86",187
"87",198
"88",155
"89",199
"90",194
"91",103
"92",90
"93",161
"94",125
"95",39
"96",8
"97",188
"98",25
"99",75
"100",53
"101",123
"102",14
"103",81
"104",45
"105",89
"106",46
"107",112
"108",87
"109",13
"110",185
"111",44
"112",179
"113",118
"114",86
"115",107
"116",16
"117",83
"118",102
"119",196
"120",58
"121",66
"122",134
"123",56
"124",65
"125",72
"126",30
"127",175
"128",60
"129",190
"130",151
"131",145
"132",42
"133",142
"134",184
"135",76
"136",168
"137",191
"138",59
"139",68
"140",106
"141",181
"142",69
"143",124
"144",5
"145",174
"146",32
"147",111
"148",147
"149",97
"150",192
"151",110
"152",71
"153",108
"154",17
"155",132
"156",20
"157",6
"158",2
"159",173
"160",27
"161",41
"162",150
"163",131
"164",193
"165",34
"166",121
"167",109
"168",197
"169",104
"170",96
"171",93
"172",28
"173",38
"174",100
"175",189
"176",180
"177",172
"178",183
"179",143
"180",162
