"","x"
"1",136
"2",86
"3",55
"4",120
"5",107
"6",166
"7",183
"8",141
"9",80
"10",106
"11",157
"12",184
"13",97
"14",17
"15",11
"16",14
"17",25
"18",128
"19",174
"20",103
"21",85
"22",182
"23",176
"24",70
"25",129
"26",15
"27",115
"28",179
"29",47
"30",187
"31",171
"32",81
"33",200
"34",57
"35",114
"36",7
"37",124
"38",131
"39",94
"40",37
"41",185
"42",191
"43",170
"44",48
"45",169
"46",42
"47",35
"48",127
"49",138
"50",160
"51",113
"52",74
"53",52
"54",132
"55",172
"56",83
"57",91
"58",104
"59",192
"60",99
"61",38
"62",181
"63",133
"64",89
"65",147
"66",126
"67",154
"68",151
"69",64
"70",1
"71",46
"72",45
"73",8
"74",197
"75",175
"76",9
"77",12
"78",196
"79",67
"80",69
"81",24
"82",78
"83",19
"84",178
"85",139
"86",68
"87",72
"88",26
"89",194
"90",116
"91",96
"92",18
"93",134
"94",108
"95",142
"96",2
"97",149
"98",39
"99",6
"100",161
"101",159
"102",41
"103",190
"104",13
"105",150
"106",189
"107",117
"108",186
"109",58
"110",101
"111",111
"112",90
"113",59
"114",88
"115",152
"116",49
"117",60
"118",100
"119",112
"120",173
"121",95
"122",62
"123",198
"124",65
"125",21
"126",153
"127",102
"128",121
"129",92
"130",63
"131",162
"132",167
"133",50
"134",79
"135",195
"136",51
"137",165
"138",135
"139",34
"140",44
"141",156
"142",54
"143",145
"144",109
"145",4
"146",77
"147",180
"148",118
"149",146
"150",23
"151",27
"152",32
"153",73
"154",36
"155",82
"156",56
"157",29
"158",61
"159",199
"160",110
"161",31
"162",168
"163",66
"164",119
"165",22
"166",137
"167",76
"168",125
"169",43
"170",30
"171",10
"172",158
"173",123
"174",143
"175",75
"176",3
"177",40
"178",163
"179",188
"180",93
