"","x"
"1",146
"2",112
"3",185
"4",118
"5",94
"6",135
"7",134
"8",55
"9",103
"10",125
"11",120
"12",9
"13",69
"14",174
"15",4
"16",138
"17",199
"18",123
"19",140
"20",96
"21",156
"22",10
"23",90
"24",36
"25",37
"26",81
"27",131
"28",51
"29",41
"30",149
"31",105
"32",6
"33",128
"34",16
"35",72
"36",144
"37",50
"38",68
"39",1
"40",119
"41",166
"42",7
"43",152
"44",47
"45",145
"46",189
"47",70
"48",192
"49",34
"50",167
"51",164
"52",49
"53",14
"54",139
"55",80
"56",29
"57",53
"58",62
"59",77
"60",48
"61",191
"62",178
"63",79
"64",39
"65",17
"66",21
"67",195
"68",121
"69",170
"70",84
"71",87
"72",20
"73",64
"74",40
"75",32
"76",188
"77",15
"78",122
"79",130
"80",107
"81",30
"82",155
"83",31
"84",11
"85",159
"86",100
"87",23
"88",133
"89",194
"90",137
"91",86
"92",110
"93",181
"94",157
"95",176
"96",54
"97",88
"98",73
"99",127
"100",104
"101",108
"102",22
"103",56
"104",24
"105",126
"106",187
"107",111
"108",136
"109",114
"110",102
"111",153
"112",173
"113",78
"114",97
"115",143
"116",169
"117",85
"118",196
"119",89
"120",154
"121",109
"122",179
"123",67
"124",197
"125",117
"126",91
"127",35
"128",52
"129",61
"130",162
"131",74
"132",160
"133",44
"134",132
"135",5
"136",124
"137",95
"138",13
"139",58
"140",19
"141",175
"142",93
"143",141
"144",71
"145",38
"146",12
"147",45
"148",3
"149",63
"150",106
"151",172
"152",66
"153",150
"154",161
"155",113
"156",59
"157",57
"158",193
"159",158
"160",60
"161",26
"162",101
"163",200
"164",151
"165",2
"166",42
"167",171
"168",147
"169",25
"170",99
"171",129
"172",190
"173",165
"174",182
"175",82
"176",27
"177",183
"178",177
"179",83
"180",65
