Taxa	DF_BLUP
CDBN_002_2242	58.2339997496393
CDBN_003_5229	57.5917258075757
CDBN_004_5501	56.6156276410935
CDBN_005_54028	58.8931900295519
CDBN_006_55012	56.6192134476121
CDBN_007_88728	60.1982400580467
CDBN_008_87_1116	57.5953116140943
CDBN_009_88_409	57.2579015831572
CDBN_010_93_207G	57.4428139907168
CDBN_011_93_208G	56.8032024976747
CDBN_012_93_219P	57.8128850397889
CDBN_013_94_1009P	57.6910974554747
CDBN_014_97_409P	58.3418295664628
CDBN_015_98_163G	57.1621529288008
CDBN_016_98_209G	56.8032024976747
CDBN_017_CO_64342	59.4397153172592
CDBN_019_CPC_00153	57.6241255916943
CDBN_020_CPC_00247	55.9269433953136
CDBN_021_CPC_00250	60.4158134837413
CDBN_022_Cran34	57.5917258075757
CDBN_023_CU_M90	61.6225226095816
CDBN_024_Elizabeth	58.8696481899336
CDBN_026_Frigate	57.2963732221583
CDBN_027_H9659_41_3	60.4158134837413
CDBN_028_H9673_87	59.2581171542355
CDBN_030_IS_4905_B	58.3833934214824
CDBN_031_IS_4907_Ba	57.0819291995062
CDBN_032_IS_4914_B	58.0580273659884
CDBN_033_IS_4923_B	58.3833934214824
CDBN_034_IS_4924_B	58.3833934214824
CDBN_035_ISB_1145	58.0568066081326
CDBN_036_ISB_1252	58.3418295664628
CDBN_037_ISB_1256	59.3606311212458
CDBN_038_ISB_1614	57.8333307102377
CDBN_039_ISB_1814	59.2246330202617
CDBN_040_ISB_2001	56.4536020593574
CDBN_041_ISB_23	54.2923469888664
CDBN_042_ISB_254_1	58.5684944839618
CDBN_043_ISB_254_4	59.7558406418179
CDBN_044_ISB_2598	60.4158134837413
CDBN_046_ISB_5172	57.8128850397889
CDBN_047_ISB_565	58.8931900295519
CDBN_048_ISB_5893	57.3966993959971
CDBN_051_AC_Calmont	57.8876823273093
CDBN_052_Canario707	58.8905980526851
CDBN_053_UI320	57.5842664464775
CDBN_054_23ST_27	59.4846831372761
CDBN_055_IP09_3	58.83662764139
CDBN_056_Jet_Black	61.0576196878977
CDBN_058_Rio_Rojo	59.5865469209466
CDBN_059_SF103_8	57.7662428776835
CDBN_060_Talon	57.5207514120275
CDBN_061_Yeti	58.0117343433396
CDBN_062_Fathom	57.5207514120275
CDBN_063_OAC_Inferno	54.8809559661661
CDBN_064_Rexeter	58.8821159738999
CDBN_065_UI465	59.3582032833236
CDBN_066_Bellagio	58.0107628793914
CDBN_067_ElDorado	58.0117343433396
CDBN_068_Gypsy_Rose	57.7662428776835
CDBN_069_Powderhorn	57.2752599463714
CDBN_070_R12859	58.6720267955523
CDBN_071_Snowdon	57.2752599463714
CDBN_073_ISB_721	59.904082349989
CDBN_075_ISB_782_1	58.2460437250824
CDBN_076_LB_4813_B	58.3833934214824
CDBN_077_LB_4815_B	61.637053976423
CDBN_079_Nichols	59.2581171542355
CDBN_083_USPT_11_9	57.9765198088364
CDBN_084_USPT_7_3	57.5468378199984
CDBN_085_USPT_9_18	57.0947289766844
CDBN_086_USWA_11	59.5354639716156
CDBN_087_USWA_70	55.3291557047398
CDBN_088_USWA_75	58.2339997496393
CDBN_089_Claret	58.2819192725964
CDBN_091_1062_V98	58.3948685487803
CDBN_092_1132_V96	59.1806039502541
CDBN_093_Isles	57.242018431289
CDBN_095_Othello	54.9362489653499
CDBN_096_Hungerford	57.3115041465021
CDBN_097_Gryphon	58.2919791301406
CDBN_098_OAC_Thunder	56.7785827706124
CDBN_116_AC_Trident	58.9157627846533
CDBN_121_Comet	58.7984740536631
CDBN_123_Fiero	58.5938859341311
CDBN_124_Fleetside	58.6766250217086
CDBN_125_H9659_21_1	59.7650813727532
CDBN_126_H9659_23_1	58.7671342229233
CDBN_127_H9659_37_2	59.0126256885794
CDBN_128_L94C356	59.1151396555897
CDBN_129_L95F025	58.1448423158691
CDBN_138_USBK_CBB_5	59.317927732945
CDBN_139_USPK_7_4	58.0152938161989
CDBN_141_USPT_8_15	58.1858955304019
CDBN_142_USPT_8_6	58.1858955304019
CDBN_143_USPT_9_6	59.5541653475789
CDBN_144_USWA_20	59.5445926504439
