Taxa	SY_BLUP
CDBN_001_1543	2667.394501
CDBN_002_2242	2928.76295
CDBN_003_5229	3588.25308
CDBN_004_5501	3359.297424
CDBN_005_54028	3135.176832
CDBN_006_55012	3144.359201
CDBN_007_88728	3057.760867
CDBN_008_87_1116	3009.773256
CDBN_009_88_409	3143.879829
CDBN_010_93_207G	3636.063003
CDBN_011_93_208G	3636.673972
CDBN_012_93_219P	3134.455015
CDBN_013_94_1009P	3411.789389
CDBN_014_97_409P	3208.255727
CDBN_015_98_163G	3277.866267
CDBN_016_98_209G	3696.914378
CDBN_017_CO_64342	3308.754845
CDBN_019_CPC_00153	2828.766284
CDBN_020_CPC_00247	2579.202414
CDBN_021_CPC_00250	3057.233571
CDBN_022_Cran34	3000.769292
CDBN_023_CU_M90	2909.404688
CDBN_024_Elizabeth	3155.071036
CDBN_025_Flamingo	3498.77861
CDBN_026_Frigate	3204.335841
CDBN_027_H9659_41_3	3075.435768
CDBN_028_H9673_87	2994.725597
CDBN_030_IS_4905_B	2714.93849
CDBN_031_IS_4907_Ba	3404.415666
CDBN_032_IS_4914_B	3001.760995
CDBN_033_IS_4923_B	2852.833925
CDBN_034_IS_4924_B	3332.71004
CDBN_035_ISB_1145	3225.459839
CDBN_036_ISB_1252	2945.702818
CDBN_037_ISB_1256	3174.658407
CDBN_038_ISB_1614	2683.629071
CDBN_039_ISB_1814	2847.602951
CDBN_040_ISB_2001	2917.047848
CDBN_041_ISB_23	2980.217535
CDBN_042_ISB_254_1	3001.067951
CDBN_043_ISB_254_4	3011.750122
CDBN_044_ISB_2598	2959.603603
CDBN_045_ISB_486	2902.917642
CDBN_046_ISB_5172	2961.258348
CDBN_047_ISB_565	3093.494907
CDBN_048_ISB_5893	2323.162117
CDBN_049_UNS_117	3300.834341
CDBN_050_Aurora	3277.502662
CDBN_051_AC_Calmont	2754.823431
CDBN_052_Canario707	2866.635327
CDBN_053_UI320	3473.339357
CDBN_054_23ST_27	3352.807985
CDBN_055_IP09_3	3072.848738
CDBN_056_Jet_Black	2719.700385
CDBN_057_Linden	3000.181439
CDBN_058_Rio_Rojo	3155.873411
CDBN_059_SF103_8	3362.786457
CDBN_060_Talon	2835.775298
CDBN_061_Yeti	2997.278718
CDBN_062_Fathom	3318.437692
CDBN_063_OAC_Inferno	2765.875616
CDBN_064_Rexeter	2748.477653
CDBN_065_UI465	3322.172911
CDBN_066_Bellagio	2529.720477
CDBN_067_ElDorado	3025.735842
CDBN_068_Gypsy_Rose	2974.734763
CDBN_069_Powderhorn	3344.677378
CDBN_070_R12859	3319.006696
CDBN_071_Snowdon	2186.065889
CDBN_072_ISB_672	2725.522582
CDBN_073_ISB_721	2875.124697
CDBN_074_ISB_782	2896.613497
CDBN_075_ISB_782_1	2966.74988
CDBN_076_LB_4813_B	3051.403352
CDBN_077_LB_4815_B	3227.909509
CDBN_078_Mogul	2784.124253
CDBN_079_Nichols	2815.113098
CDBN_080_Panther	3028.993115
CDBN_081_Sprint	3084.15129
CDBN_082_UIP7_24P_1P	3264.000367
CDBN_084_USPT_7_3	3181.589174
CDBN_085_USPT_9_18	3307.607111
CDBN_086_USWA_11	3265.227812
CDBN_087_USWA_70	3102.021992
CDBN_088_USWA_75	2448.886835
CDBN_089_Claret	2742.139212
CDBN_090_Redkloud	2639.231307
CDBN_091_1062_V98	2522.796808
CDBN_092_1132_V96	2767.684666
CDBN_093_Isles	3022.642057
CDBN_094_UCD_9830	3021.304401
CDBN_095_Othello	3575.559714
CDBN_096_Hungerford	3183.945652
CDBN_097_Gryphon	3017.195454
CDBN_098_OAC_Thunder	3131.62791
CDBN_099_4533	3540.282058
CDBN_100_6123	2806.685857
CDBN_101_79146	3303.551396
CDBN_102_83B16	2807.127829
CDBN_103_CO_12601	3002.111541
CDBN_104_D76125	3162.070246
CDBN_106_D77196	2660.407668
CDBN_107_D79054	2996.719136
CDBN_108_GH760	3073.817167
CDBN_109_ISB_1	2063.322386
CDBN_110_ISB_459	2993.313955
CDBN_111_ISB_730	3042.68085
CDBN_112_MRK44	2547.409392
CDBN_113_N81017	2887.470271
CDBN_114_UI60	3128.891932
CDBN_116_AC_Trident	3154.139755
CDBN_117_Agate	3077.96932
CDBN_118_Amber	2967.097407
CDBN_120_CO_33142	2961.128745
CDBN_121_Comet	2813.224922
CDBN_122_Ebony	2704.700547
CDBN_123_Fiero	2669.903003
CDBN_124_Fleetside	2953.014307
CDBN_125_H9659_21_1	2396.990227
CDBN_126_H9659_23_1	2951.855124
CDBN_127_H9659_37_2	2903.810629
CDBN_128_L94C356	2978.045549
CDBN_129_L95F025	3236.195094
CDBN_130_Monument	2875.24774
CDBN_131_Opal	2841.442572
CDBN_133_RS101	3565.03622
CDBN_134_Shetland	3462.652758
CDBN_135_Spinel	3084.766871
CDBN_136_UI137	3449.444921
CDBN_137_UI36	3137.101007
CDBN_138_USBK_CBB_5	2984.32829
CDBN_139_USPK_7_4	3472.99454
CDBN_141_USPT_8_15	3105.943642
CDBN_142_USPT_8_6	3508.598313
CDBN_143_USPT_9_6	3438.467944
CDBN_144_USWA_20	2747.34035
CDBN_145_C_20	2560.101609
CDBN_146_Fleetwood	3109.228683
CDBN_147_USWA_50	3049.487141
CDBN_148_Valley	2205.932269
CDBN_149_WYO166	3223.631674
CDBN_150_WYO167	3286.554261
CDBN_151_Zircon	2678.830434
CDBN_152_Isabella	2784.985868
CDBN_153_Sacramento	2643.581161
CDBN_154_AC_Elk	2895.668045
CDBN_155_Alpine	3238.795928
CDBN_156_K42	2853.184471
CDBN_157_Lisa	2872.875666
CDBN_158_SilverCloud	2944.082957
CDBN_159_Beluga	2398.924591
CDBN_160_NY_105	2735.984795
CDBN_161_Rosie	2922.624964
CDBN_162_RoyalRed	3106.912072
CDBN_163_Capri	2648.992022
CDBN_164_Hooter	2751.657286
CDBN_165_Redhawk	2676.818066
CDBN_166_RedKanner	3107.374757
CDBN_167_UCD_0801	2623.928958
CDBN_168_Blush	2762.37898
CDBN_169_Hyden	3286.554261
CDBN_170_Cardinal	2515.580276
CDBN_171_CELRK	2348.384418
CDBN_172_Majesty	2887.077883
CDBN_173_ND060197	3430.977789
CDBN_174_ND307	3072.261376
CDBN_175_OAC_Seaforth	2963.44039
CDBN_176_Sapphire	2422.867304
CDBN_177_Topaz	3374.288535
CDBN_178_Seahawk	3063.247213
CDBN_179_Maverick	3583.958641
CDBN_180_Mayflower	3330.790376
CDBN_181_CO_11113	2927.535505
CDBN_182_CO_1760	3372.275406
CDBN_183_CO_27864	3197.810558
CDBN_184_CO_33875	3179.147249
CDBN_185_CO_91212_4	3079.62022
CDBN_186_53026	3447.133465
CDBN_187_55063	3170.283542
CDBN_188_ISB_82_865	2697.367776
CDBN_189_OAC_Lyrik	2636.127348
CDBN_191_Garnet	3261.27155
CDBN_192_Rojo_Chiquito	3409.931484
CDBN_193_Kodiak	3261.138499
CDBN_194_Laker	2390.595116
CDBN_195_Lariat	3256.28361
CDBN_196_LeBaron	3245.171079
CDBN_197_Lightning	3009.526782
CDBN_198_Merlot	3007.399096
CDBN_199_Montrose	3088.562489
CDBN_200_N05324	2823.66514
CDBN_201_Newport	2992.807114
CDBN_202_Nodak	3424.46574
CDBN_203_OAC_Laser	2888.338317
CDBN_204_OAC_Rex	3098.405193
CDBN_206_Quincy	3391.794333
CDBN_207_Raven	2913.507916
CDBN_208_Roza	2818.74074
CDBN_209_Sanilac	2519.936101
CDBN_210_Santa_Fe	3346.872491
CDBN_211_Sawtooth	2939.23706
CDBN_212_Seabiskit	3417.570202
CDBN_213_Sedona	2874.297829
CDBN_214_Sequoia	3055.286455
CDBN_215_Shania	3100.349501
CDBN_216_Shoshone	3217.291192
CDBN_217_Stampede	3213.702699
CDBN_218_UCD_9634	3164.456989
CDBN_219_UI111	2817.821566
CDBN_220_UI126	3017.435426
CDBN_221_UI196	3048.23844
CDBN_222_UI425	3456.390006
CDBN_223_USPT_ANT_1	2519.365017
CDBN_224_USPT_CBB_1	3354.051738
CDBN_225_USRM_20	2909.03422
CDBN_226_USWA_12	3055.634531
CDBN_227_Victor	3358.845822
CDBN_228_Zorro	2982.85035
CDBN_229_6R_42	3366.15549
CDBN_230_Ivory	3443.847622
CDBN_231_JM126	3086.984818
CDBN_232_OAC_Gryphon	2872.894028
CDBN_233_Star	3195.081741
CDBN_234_UC_BTS_96114	3418.310092
CDBN_235_UCD_9623	3575.335347
CDBN_236_Rosetta	2985.843146
CDBN_237_Longs_Peak	2880.412649
CDBN_238_Midnight	3148.880181
CDBN_239_Arthur	3081.156428
CDBN_240_Norstar	3201.387399
CDBN_241_AC_Ole	3529.987047
CDBN_242_AC_Pintoba	3445.925021
CDBN_243_Apache	3218.466317
CDBN_244_Bandit	3236.072781
CDBN_245_Bighorn	3410.939163
CDBN_246_Blackhawk	2878.160498
CDBN_247_CDC_Crocus	3244.10854
CDBN_248_CDC_Expression	2559.802558
CDBN_249_CDC_Pinnacle	3265.011668
CDBN_250_CDC_Pintium	2347.34787
CDBN_251_CDC_Rosalee	3145.48665
CDBN_252_Condor	3186.913717
CDBN_253_Coyne	3113.243666
CDBN_254_Croissant	3191.753122
CDBN_255_Eclipse	3325.950655
CDBN_257_Envoy	3296.058496
CDBN_258_Fiesta	3378.583746
