Gen,Control_F2,Control_F5,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,Control_F2,Control_F5,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,Control_F2,Control_F5,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
NewParents,-0.108014398,-0.081339734,0.043233069,-0.089387823,-0.028478034,-0.755261902,-0.108014398,-0.081339734,-0.262700415,-0.220111504,0.099343239,0.222570752,-0.108014398,-0.081339734,0.030739232,-0.045979438,-0.019870235,-0.06974972
F1,-0.107774102,-0.139974714,-0.214435212,-0.081003734,-0.078423328,-0.908898254,-0.107774102,-0.139974714,-0.325235184,-0.209388651,-0.092121892,-0.126038295,-0.107774102,-0.139974714,-0.240819363,0.003507612,-0.051924416,-0.130883382
F2,-0.016785612,-0.113180395,-0.120313365,-0.035881926,-0.045416989,-0.801657637,-0.016785612,-0.113180395,-0.224638082,-0.1170808,0.059873779,0.024613215,-0.016785612,-0.113180395,0.419232434,0.191264117,-0.022748496,-0.075272757
F3,-0.113940613,-0.139616246,-0.018839215,-0.034591563,-0.036344368,-0.780239955,-0.113940613,-0.139616246,-0.201936089,-0.122535226,0.116112441,0.030286752,-0.113940613,-0.139616246,0.66431537,0.244062332,-0.022715147,-0.062648012
F4,-0.101527471,-0.135093068,0.002516803,-0.028034863,-0.02976146,-0.778061671,-0.101527471,-0.135093068,-0.176697056,-0.103126439,0.153183218,0.072831807,-0.101527471,-0.135093068,0.818302412,0.27682916,-0.015679308,-0.047198996
F5,-0.099018006,-0.132356636,0.008060214,-0.014259835,-0.02369345,-0.789796015,-0.099018006,-0.132356636,-0.195468821,-0.10528759,0.170689855,0.035586372,-0.099018006,-0.132356636,0.975595466,0.29403928,-0.021567881,-0.047223167
PYT,-0.098299766,-0.134540173,0.034851269,-0.014797658,-0.023005332,-0.835929964,-0.098299766,-0.134540173,-0.254642998,-0.107840391,0.122436825,-0.00456589,-0.098299766,-0.134540173,0.710019475,0.24252233,-0.030443783,-0.060530376
AYT,-0.114250197,-0.143171062,-0.265744759,-0.031608454,-0.039623595,-0.895789614,-0.114250197,-0.143171062,-0.287723906,-0.12025546,-0.032026456,-0.081275487,-0.114250197,-0.143171062,0.418360729,0.206348528,-0.044344799,-0.086847937
NewParents,-0.072735658,-0.143879095,-0.336301967,-0.076171875,-0.057680083,-0.847718698,-0.072735658,-0.143879095,-0.312981833,-0.245913897,-0.026467508,-0.137465453,-0.072735658,-0.143879095,0.293169472,-0.022270828,-0.051972487,-0.082172488
F1,-0.093576297,-0.162214282,-0.381251993,-0.096265637,-0.09535633,-0.949085156,-0.093576297,-0.162214282,-0.385037684,-0.262341364,-0.148231883,-0.262214097,-0.093576297,-0.162214282,-0.316775042,-0.08984178,-0.066377017,-0.141996099
