Gen,Control_F2,Control_F5,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,Control_F2,Control_F5,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,Control_F2,Control_F5,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
NewParents,0,0,0.580945547,0.024795677,0.035013563,0.354086861,0,0,0.069274893,0.094214601,0.153873731,0.237352999,0,0,0.956398642,0.185513092,0.018153727,0.050528153
F1,0.005258739,0.000128998,0.224263479,0.018889906,0.014052166,0.152832325,0.005258739,0.000128998,0.02794184,0.052553522,0.059930687,0.090255457,0.005258739,0.000128998,0.466681144,0.078189417,0.006940484,0.020307773
F2,0.002958912,0.000605328,0.272462502,0.03605216,0.014599811,0.303411308,0.002958912,0.000605328,0.028870111,0.090141753,0.111638593,0.098180236,0.002958912,0.000605328,0.63569847,0.082107095,0.014863736,0.023145887
F3,0.003666044,0.00135263,0.458120007,0.03461686,0.01519659,0.420921469,0.003666044,0.00135263,0.037627785,0.117583958,0.156948086,0.10536034,0.003666044,0.00135263,0.760733601,0.078001551,0.019582332,0.022992017
F4,0.003080932,0.003757041,0.510660852,0.038011656,0.011960048,0.441059032,0.003080932,0.003757041,0.061659202,0.134115526,0.161814445,0.110307622,0.003080932,0.003757041,0.976236912,0.102858668,0.025272948,0.03204635
F5,0.00376679,0.003918554,0.548347061,0.036659701,0.014273759,0.438370111,0.00376679,0.003918554,0.074549698,0.13040286,0.198335847,0.133197482,0.00376679,0.003918554,1.036615673,0.100443395,0.011821449,0.034721673
PYT,0.003736149,0.004955145,0.735574316,0.036160114,0.024367722,0.512900203,0.003736149,0.004955145,0.068988357,0.129356235,0.214668285,0.101561734,0.003736149,0.004955145,0.848315794,0.135745442,0.010327641,0.026014397
AYT,0.020727869,0.010899831,0.205524087,0.033282955,0.024545876,0.381312573,0.020727869,0.010899831,0.087285068,0.14115663,0.18566346,0.062228347,0.020727869,0.010899831,0.616767348,0.162620672,0.015969395,0.034319476
NewParents,0.066032683,0.027026079,0.182653446,0.058608357,0.037366674,0.533326154,0.066032683,0.027026079,0.13491201,0.091356193,0.27133586,0.165229905,0.066032683,0.027026079,1.659367637,0.136576185,0.020829827,0.060569523
F1,0.047044784,0.010867637,0.094991279,0.019737631,0.013957503,0.212777268,0.047044784,0.010867637,0.064390045,0.056821872,0.106773283,0.064918588,0.047044784,0.010867637,0.613118374,0.057391746,0.007968207,0.023093981
