Gen,Control_F2,Control_F5,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,Control_F2,Control_F5,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,Control_F2,Control_F5,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NewParents,0.248122943,1.146220557,3.661030659,1.395005011,-0.513009011,0.690687557,0.248122943,1.146220557,-3.302716761,0.605026841,2.501628307,5.861470034,0.248122943,1.146220557,5.932214364,3.601540659,0.886168955,2.625289727
F1,0.299813193,1.145347591,3.698007182,1.375205102,-0.524233659,0.68001742,0.299813193,1.145347591,-3.217735466,0.618353534,2.509900409,5.865503886,0.299813193,1.145347591,5.835551477,3.538178909,0.887280205,2.618725716
F2,0.291806852,1.150887125,3.718102114,1.365499045,-0.520675102,0.679980455,0.291806852,1.150887125,-3.218345932,0.646144898,2.511309511,5.865907852,0.291806852,1.150887125,5.858190739,3.528237989,0.880839886,2.617099432
F3,2.478984148,3.082157807,5.284607409,2.362274898,0.054882114,1.531796602,2.478984148,3.082157807,-4.135818773,1.409086784,3.502437261,7.017615386,2.478984148,3.082157807,7.581539091,3.246118773,1.40019875,3.085586227
F4,3.048630045,3.303878023,5.161827784,2.644717205,0.074685932,2.110363318,3.048630045,3.303878023,-3.981698966,1.269874784,3.530579795,7.253397455,3.048630045,3.303878023,7.221528795,3.251035045,1.391970193,3.121360682
F5,3.051835523,3.319993648,5.862195466,2.69018375,0.320566807,2.493381091,3.051835523,3.319993648,-4.60778433,1.277608557,4.078112057,7.51986817,3.051835523,3.319993648,7.647343773,3.088457136,1.60138867,3.22565317
PYT,3.087514898,3.641309807,5.522940034,2.577667227,0.296589455,2.557772909,3.087514898,3.641309807,-5.099255364,0.653482193,4.045081761,8.34172417,3.087514898,3.641309807,7.555584932,2.655773795,2.00382558,3.535199273
AYT,3.831318364,3.91329942,3.535472523,3.090956705,0.782133091,1.918140648,3.831318364,3.91329942,-5.409791977,0.733989932,2.474514648,8.502989364,3.831318364,3.91329942,6.99465,2.760771932,2.218559182,3.696042386
Variety,6.958385318,5.215443443,4.465982943,4.195315261,-0.186006568,1.941828602,6.958385318,5.215443443,-5.52557683,1.344002489,4.361025591,6.683603659,6.958385318,5.215443443,8.988599398,1.260458432,3.167608261,2.623423795
F1,3.118182136,4.004905784,3.349222193,3.561232148,0.890358841,2.413517227,3.118182136,4.004905784,-4.73005442,0.965159568,4.0516765,9.417960761,3.118182136,4.004905784,8.664350716,1.979889807,2.893063989,3.768994227
F2,3.142868648,3.999317284,3.348610193,3.552820614,0.882740057,2.402880341,3.142868648,3.999317284,-4.724274932,0.966808705,4.063242761,9.431959466,3.142868648,3.999317284,8.68391808,1.994720205,2.895828886,3.78240808
F3,5.914038114,4.812748239,3.552727614,3.846022182,0.996661443,2.215889227,5.914038114,4.812748239,-4.202954932,1.164974591,4.749783489,9.808482295,5.914038114,4.812748239,8.58745392,2.139528341,3.046717636,3.997048216
F4,6.721598932,4.956135705,3.650131216,4.013340466,1.00603933,2.251923989,6.721598932,4.956135705,-3.861451989,1.172557568,4.849021159,9.944070875,6.721598932,4.956135705,8.556669909,2.103509682,3.104288091,4.035634273
F5,6.946168545,5.038279545,3.328076159,3.93849875,1.072600148,2.319394818,6.946168545,5.038279545,-3.187790614,1.087007057,4.872107966,9.821457659,6.946168545,5.038279545,7.739105511,1.584301943,2.984226977,4.145262284
PYT,7.086217364,5.327545011,2.797934591,4.001998727,0.976865705,2.393207682,7.086217364,5.327545011,-3.124162443,1.2663525,5.335500273,10.20143708,7.086217364,5.327545011,5.049692864,2.214512841,2.954989023,4.653531284
AYT,8.389227648,5.777992557,2.241080909,3.517204489,0.554984773,3.37859183,8.389227648,5.777992557,-4.216779284,1.460029341,5.613038511,9.850885159,8.389227648,5.777992557,6.578151443,3.321170739,3.216673114,5.163387818
Variety,9.556945784,5.713687148,3.053850284,4.186656807,0.702905523,4.216323011,9.556945784,5.713687148,-3.783062364,3.095464545,6.419343091,10.01289482,9.556945784,5.713687148,5.364437284,4.981380102,3.227336534,4.945007716
F1,5.889144273,5.599607682,3.880426716,4.271785614,1.350887352,3.347493318,5.889144273,5.599607682,-3.892648284,1.032129511,5.762801875,10.02041766,5.889144273,5.599607682,9.238789466,2.663911057,2.926213648,5.371693341
F2,5.87690658,5.602494466,3.871732443,4.26940483,1.352519011,3.34590075,5.87690658,5.602494466,-3.897143602,1.024747864,5.765422773,10.01778415,5.87690658,5.602494466,9.203537432,2.68237908,2.923733466,5.374361875
F3,8.499583318,6.423413318,3.689145636,4.493072625,1.374915216,3.44876208,8.499583318,6.423413318,-3.967569477,1.169518489,6.116956557,10.31682731,8.499583318,6.423413318,8.529474784,2.392320205,3.07966417,5.345572614
F4,9.279085693,6.545410773,3.732267795,4.438038932,1.429595068,3.4001645,9.279085693,6.545410773,-3.907722023,1.232544955,6.140932159,10.38043791,9.279085693,6.545410773,8.183156307,2.468876375,3.124384375,5.364191557
F5,9.220257557,6.535223,3.781583545,4.338329739,1.47689342,3.164642807,9.220257557,6.535223,-4.158803409,1.430804364,5.739553795,10.58713575,9.220257557,6.535223,9.091960284,2.228006091,3.116581489,5.271925545
PYT,9.854852898,6.749677307,3.340263636,4.390807364,1.539170773,3.318960239,9.854852898,6.749677307,-4.009329932,1.472225045,6.115253136,10.63560419,9.854852898,6.749677307,10.39947336,1.518599761,3.06801833,5.041001989
AYT,10.23567545,6.799999261,3.65840725,4.179775182,1.879273216,3.141442443,10.23567545,6.799999261,-3.619016205,0.845439068,7.32511792,10.01905817,10.23567545,6.799999261,7.790968,1.0408,3.113007409,4.440729216
Variety,13.96291576,6.840095659,4.366077648,3.78180617,2.893283239,3.169972239,13.96291576,6.840095659,-5.567567841,2.386525227,7.147233295,11.09690858,13.96291576,6.840095659,10.93430125,-0.261958011,2.634622818,5.217088364
