Gen,Control_F2,Control_F5,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,Control_F2,Control_F5,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,Control_F2,Control_F5,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NewParents,0,0,3.996069705,0.485285363,0.367722473,0.609953702,0,0,0.889393411,3.29540244,2.112430449,1.065320738,0,0,4.575357461,1.323975944,0.311520209,0.788097925,0
F1,0.031515047,0.00235274,3.949968989,0.474775862,0.372467954,0.604732379,0.031515047,0.00235274,0.878746986,3.311967797,2.120500189,1.066981877,0.031515047,0.00235274,4.667802347,1.393340114,0.307833686,0.786421381,0.023636285
F2,0.053651378,0.009010343,3.927675324,0.47668066,0.371542257,0.605566432,0.053651378,0.009010343,0.875461538,3.315932501,2.12811323,1.066540928,0.053651378,0.009010343,4.685573889,1.396175906,0.310249528,0.789584887,0.040238533
F3,0.101263865,0.077427173,3.99876594,0.502369242,0.55779302,0.314107185,0.101263865,0.077427173,1.250260721,3.455451083,2.634892472,1.548105993,0.101263865,0.077427173,5.701567596,0.869600391,0.431121407,0.595974132,0.075947898
F4,0.116834887,0.129392987,4.043148066,0.50800934,0.654330593,0.367979267,0.116834887,0.129392987,1.338066141,3.628061873,2.63520953,1.603561493,0.116834887,0.129392987,5.806870306,1.109989387,0.340600941,0.605808998,0.087626165
F5,0.24057381,0.252257868,4.361280763,0.432299308,0.739877146,0.708675776,0.24057381,0.252257868,1.447251449,3.652483718,2.727136361,2.07954188,0.24057381,0.252257868,5.97929609,1.0063046,0.356095067,0.632553596,0.180430358
PYT,0.292029955,0.430640412,5.347386275,0.572621357,0.777003302,0.615555512,0.292029955,0.430640412,2.090303438,3.500102276,2.872782339,2.16989047,0.292029955,0.430640412,6.935437847,1.349123043,0.248287398,0.77437281,0.219022466
AYT,0.946722861,0.550858219,8.11415685,0.571709231,0.782078651,1.082267176,0.946722861,0.550858219,2.687101434,3.91761581,3.63907178,3.262237658,0.946722861,0.550858219,6.606195859,1.526027823,0.75917009,1.405163793,0.710042146
Variety,0.177792251,0.974128411,8.335638743,1.520091588,2.367405601,1.04013147,0.177792251,0.974128411,3.555185683,4.118401298,5.703464417,5.103803027,0.177792251,0.974128411,11.65838557,4.208663257,1.20123528,3.028455512,0.133344188
