Gen,Control_F2,Control_F5,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,Control_F2,Control_F5,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,Control_F2,Control_F5,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
NewParents,-0.108014398,-0.081339734,-0.227686614,0.461654872,0.011987537,-0.693069559,-0.108014398,-0.081339734,-0.202601173,-0.597323174,-0.021704456,0.002916651,-0.108014398,-0.081339734,-0.838299885,-0.287753845,-0.334316176,-0.317529479
F1,-0.107774102,-0.139974714,-0.441819424,0.196203587,-0.064514286,-0.70257953,-0.107774102,-0.139974714,-0.199498376,-0.49084391,-0.039259799,-0.091713494,-0.107774102,-0.139974714,-0.774349413,-0.093834709,-0.673976094,-0.334753848
F2,-0.016785612,-0.113180395,-0.18281895,0.408159803,-0.025836536,-0.696442364,-0.016785612,-0.113180395,-0.193407049,-0.308073697,-0.033649349,-0.035466513,-0.016785612,-0.113180395,-0.653420784,0.150001198,-0.307273214,-0.164801969
F3,-0.113940613,-0.139616246,-0.10776724,0.473855712,0.002170804,-0.693429625,-0.113940613,-0.139616246,-0.19078192,-0.176582625,-0.032767954,-0.044701854,-0.113940613,-0.139616246,-0.612649607,0.327889928,-0.186097962,-0.166577792
F4,-0.101527471,-0.135093068,-0.106091605,0.49510783,0.010115774,-0.691918415,-0.101527471,-0.135093068,-0.189192634,-0.09000014,-0.030451211,-0.037455833,-0.101527471,-0.135093068,-0.576831126,0.375582762,-0.027567435,-0.126777206
F5,-0.099018006,-0.132356636,-0.069539678,0.543142996,0.002684458,-0.691346323,-0.099018006,-0.132356636,-0.188835568,-0.067730948,-0.030884915,-0.044959933,-0.099018006,-0.132356636,-0.574789967,0.342625832,-0.026305979,-0.132942781
PYT,-0.098299766,-0.134540173,-0.128215094,0.399043018,-0.009405753,-0.694200123,-0.098299766,-0.134540173,-0.189264537,-0.087239215,-0.033430857,-0.073639684,-0.098299766,-0.134540173,-0.570193947,0.273270725,0.007094186,-0.065001482
AYT,-0.114250197,-0.143171062,-0.146437105,0.190813224,-0.007703555,-0.699782769,-0.114250197,-0.143171062,-0.189340714,-0.185373524,-0.033693446,-0.102499856,-0.114250197,-0.143171062,-0.580112993,0.334860727,-0.160665164,-0.08434618
NewParents,-0.072735658,-0.143879095,-0.173464978,0.224009999,-0.0350059,-0.697791394,-0.072735658,-0.143879095,-0.193737044,-0.329250686,-0.036610044,-0.110302954,-0.072735658,-0.143879095,-0.780895613,-0.218053279,-0.122233469,-0.164752362
F1,-0.093576297,-0.162214282,-0.486044689,0.035120625,-0.081948608,-0.704281405,-0.093576297,-0.162214282,-0.200613301,-0.421246813,-0.044117834,-0.132228068,-0.093576297,-0.162214282,-0.795477978,-0.242062783,-0.654874532,-0.271205844
F2,-0.009932732,-0.150772452,-0.236850502,0.207244646,-0.049485967,-0.700256141,-0.009932732,-0.150772452,-0.195124663,-0.287625971,-0.039821179,-0.119180832,-0.009932732,-0.150772452,-0.697648417,-0.045996645,-0.387056051,-0.204572278
F3,-0.020688472,-0.153172132,-0.241973209,0.277958451,-0.035227225,-0.699101155,-0.020688472,-0.153172132,-0.194808929,-0.240678035,-0.040290535,-0.119286947,-0.020688472,-0.153172132,-0.729818103,0.031343111,-0.423851566,-0.196638258
F4,-0.011367973,-0.150321076,-0.2069181,0.303998179,-0.028569398,-0.698287286,-0.011367973,-0.150321076,-0.19418522,-0.218216302,-0.040017994,-0.118042042,-0.011367973,-0.150321076,-0.738210791,0.066277657,-0.34815611,-0.17419112
F5,-0.016201385,-0.149835071,-0.157184286,0.284237007,-0.036256545,-0.697525638,-0.016201385,-0.149835071,-0.193815806,-0.192562957,-0.039949248,-0.118203792,-0.016201385,-0.149835071,-0.725065841,0.08684065,-0.352550226,-0.161385021
PYT,0.017800792,-0.153119481,-0.041345317,0.228461,-0.06073139,-0.700192542,0.017800792,-0.153119481,-0.194528453,-0.208775266,-0.041472185,-0.116670976,0.017800792,-0.153119481,-0.742020286,0.070136041,-0.296799396,-0.153285428
AYT,-0.01539995,-0.155082861,-0.265308915,0.129164303,-0.069364913,-0.701830431,-0.01539995,-0.155082861,-0.197681583,-0.279019845,-0.040749113,-0.11428544,-0.01539995,-0.155082861,-0.749127873,0.044280019,-0.474550948,-0.196398409
NewParents,-0.023667608,-0.154895911,-0.670213334,0.030013853,-0.079569726,-0.699620266,-0.023667608,-0.154895911,-0.202906885,-0.355096618,-0.04241495,-0.120984531,-0.023667608,-0.154895911,-0.819926286,-0.121465713,-0.53627822,-0.21136551
F1,-0.082921795,-0.166646005,-0.671302254,-0.056716879,-0.100710619,-0.704964326,-0.082921795,-0.166646005,-0.204831768,-0.435426536,-0.047026234,-0.137693589,-0.082921795,-0.166646005,-0.852497551,-0.2348121,-0.81274948,-0.29086811
F2,-0.024944051,-0.157587188,-0.486792024,0.085518083,-0.081977071,-0.702272681,-0.024944051,-0.157587188,-0.202180779,-0.314852472,-0.044690874,-0.126446905,-0.024944051,-0.157587188,-0.786151656,-0.061610596,-0.663313885,-0.251098773
F3,-0.062578373,-0.16077011,-0.489941848,0.110519776,-0.073476407,-0.701757404,-0.062578373,-0.16077011,-0.201208759,-0.28475644,-0.043826218,-0.120750934,-0.062578373,-0.16077011,-0.783446711,-0.024989644,-0.660017906,-0.248019199
F4,-0.061875151,-0.158612187,-0.448329587,0.134740304,-0.070186949,-0.701250953,-0.061875151,-0.158612187,-0.200822202,-0.249568427,-0.043018403,-0.118584337,-0.061875151,-0.158612187,-0.786491022,-0.003862935,-0.636599144,-0.241733775
F5,-0.045823599,-0.158197871,-0.474929163,0.137795641,-0.067771392,-0.701156774,-0.045823599,-0.158197871,-0.200720384,-0.273657845,-0.043469697,-0.120634548,-0.045823599,-0.158197871,-0.783578121,0.016675245,-0.644934222,-0.232446383
PYT,-0.075415592,-0.155781437,-0.464840011,0.129052227,-0.070974421,-0.700920568,-0.075415592,-0.155781437,-0.202995192,-0.287984365,-0.0438258,-0.120418382,-0.075415592,-0.155781437,-0.811257708,-0.005019224,-0.670642296,-0.252848075
AYT,-0.050020625,-0.158406185,-0.577643558,0.10434258,-0.076576339,-0.700603312,-0.050020625,-0.158406185,-0.203555724,-0.319174861,-0.04720528,-0.127798926,-0.050020625,-0.158406185,-0.816953302,-0.123238129,-0.718261074,-0.261788986
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
