Gen,Control_F2,Control_F5,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,Control_F2,Control_F5,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,Control_F2,Control_F5,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
NewParents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,0.005258739,0.000128998,0.020128338,0.02254212,0.000689583,0,0.005258739,0.000128998,0.000404995,0.006567235,0,2.27E-05,0.005258739,0.000128998,0.005852334,0.021619601,0.013933406,0.000132498
F2,0.002958912,0.000605328,0.011060757,0.02291438,0.000807222,9.67E-05,0.002958912,0.000605328,0.000361993,0.006283971,0.000106092,0.001479843,0.002958912,0.000605328,0.005764251,0.021437314,0.018479201,0.002412813
F3,0.003666044,0.00135263,0.074341631,0.089385151,0.003688947,0.001419174,0.003666044,0.00135263,0.000872207,0.021265966,0.000309272,0.005538583,0.003666044,0.00135263,0.02123628,0.061361366,0.039774843,0.005348671
F4,0.003080932,0.003757041,0.048222504,0.135402508,0.015397143,0.00216394,0.003080932,0.003757041,0.001507826,0.037805194,0.000940558,0.012275068,0.003080932,0.003757041,0.055325193,0.152089949,0.095046676,0.02951153
F5,0.00376679,0.003918554,0.005150587,0.16315647,0.022340774,0.002075047,0.00376679,0.003918554,0.002071682,0.062147207,0.002070088,0.026486642,0.00376679,0.003918554,0.053416964,0.13194876,0.113992035,0.026010318
PYT,0.003736149,0.004955145,0.111113345,0.169656959,0.013649683,0.002267422,0.003736149,0.004955145,0.002757751,0.099518694,0.001360685,0.038340976,0.003736149,0.004955145,0.079344061,0.183275443,0.142635475,0.041867137
AYT,0.020727869,0.010899831,0.181114168,0.094997014,0.022344198,0.005577664,0.020727869,0.010899831,0.004523749,0.141643878,0.002824508,0.012476154,0.020727869,0.010899831,0.106526096,0.267906934,0.221573177,0.052021946
NewParents,0.066032683,0.027026079,0.461858836,0.245797834,0.045171272,0.005909075,0.066032683,0.027026079,0.005964412,0.168885769,0.007342366,0.029218676,0.066032683,0.027026079,0.136815204,0.218439921,0.610296963,0.087089633
F1,0.047044784,0.010867637,0.158598178,0.080109127,0.017812387,0.002236925,0.047044784,0.010867637,0.001962118,0.059375096,0.002651259,0.010409231,0.047044784,0.010867637,0.066062137,0.099575475,0.22938872,0.035482572
F2,0.068551021,0.013215926,0.135329537,0.092254968,0.020029795,0.003572166,0.068551021,0.013215926,0.002755649,0.081146433,0.004276904,0.015596558,0.068551021,0.013215926,0.082696974,0.138608565,0.232921162,0.044839289
F3,0.057339287,0.010535046,0.160826005,0.095279008,0.02973875,0.00451378,0.057339287,0.010535046,0.004955904,0.100413357,0.004500474,0.00783061,0.057339287,0.010535046,0.085671577,0.151599542,0.155299926,0.058872917
F4,0.056288291,0.013180723,0.132079199,0.13534224,0.028282815,0.004908614,0.056288291,0.013180723,0.005363626,0.136376966,0.0045611,0.007887836,0.056288291,0.013180723,0.075215439,0.168723155,0.19307418,0.073922093
F5,0.053347463,0.014413464,0.24616265,0.118550776,0.027614561,0.004876745,0.053347463,0.014413464,0.005791111,0.13553134,0.005961227,0.010963927,0.053347463,0.014413464,0.09751689,0.17001827,0.203602903,0.070740581
PYT,0.066567184,0.014033952,0.150361202,0.152935439,0.026894086,0.00759373,0.066567184,0.014033952,0.006463569,0.165593696,0.007092411,0.021395728,0.066567184,0.014033952,0.107095526,0.198439671,0.269265826,0.078786
AYT,0.055720768,0.013821563,0.127353519,0.17322523,0.027021061,0.008240529,0.055720768,0.013821563,0.008499644,0.16442122,0.00770485,0.028006399,0.055720768,0.013821563,0.098431879,0.180361941,0.207356161,0.092023832
NewParents,0.156847566,0.011118634,0.05574982,0.137364544,0.024605502,0.007828175,0.156847566,0.011118634,0.005632162,0.182004328,0.007518673,0.020806933,0.156847566,0.011118634,0.101907281,0.303188917,0.283264373,0.11795079
F1,0.053921316,0.004223424,0.051955877,0.063110409,0.00913525,0.002923891,0.053921316,0.004223424,0.00342541,0.068230705,0.002819502,0.007646495,0.053921316,0.004223424,0.063422648,0.125916173,0.10524394,0.043654476
F2,0.059800973,0.007159121,0.069071904,0.074393928,0.017846299,0.00481947,0.059800973,0.007159121,0.005788069,0.089340509,0.005220145,0.019408004,0.059800973,0.007159121,0.095108337,0.145158652,0.140130872,0.055382023
F3,0.049699286,0.008918636,0.124163601,0.087508778,0.023646319,0.005237826,0.049699286,0.008918636,0.007061043,0.096887583,0.006356709,0.022415907,0.049699286,0.008918636,0.068833495,0.106033704,0.122084849,0.054104827
F4,0.055042605,0.011275537,0.186961648,0.090543687,0.026277851,0.005852858,0.055042605,0.011275537,0.007489512,0.124130579,0.007164691,0.025727563,0.055042605,0.011275537,0.069834179,0.106867753,0.127153632,0.05636845
F5,0.060571968,0.012034267,0.164399318,0.116610302,0.029518068,0.00665322,0.060571968,0.012034267,0.007506511,0.122716718,0.007409106,0.026971284,0.060571968,0.012034267,0.075738859,0.128965878,0.134045953,0.062592472
PYT,0.074488781,0.019884097,0.211176157,0.114809793,0.035578572,0.007539923,0.074488781,0.019884097,0.007249883,0.163815723,0.007646394,0.038377135,0.074488781,0.019884097,0.055157607,0.148824135,0.135186488,0.060397035
AYT,0.096588352,0.014112269,0.090066606,0.107918,0.030875685,0.007604844,0.096588352,0.014112269,0.007482972,0.175963974,0.005273853,0.036804593,0.096588352,0.014112269,0.074901991,0.130896694,0.135585054,0.057162184
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
