Gen,Control_F2,Control_F5,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,Control_F2,Control_F5,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,Control_F2,Control_F5,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NewParents,0.248122943,1.146220557,13.03603297,-2.539656636,-1.671397307,-7.051289409,0.248122943,1.146220557,-0.411299318,4.466460943,0.051375386,3.991620398,0.248122943,1.146220557,7.894869943,7.574460386,-0.341736511,1.715479136
F1,0.299813193,1.145347591,13.06702933,-2.471677318,-1.665945659,-7.051289409,0.299813193,1.145347591,-0.404567102,4.487544068,0.051375386,3.991517625,0.299813193,1.145347591,7.881535114,7.589486386,-0.289921659,1.717912023
F2,0.291806852,1.150887125,13.08334478,-2.466990205,-1.676536909,-7.052340261,0.291806852,1.150887125,-0.403141091,4.473281273,0.054442795,3.994356239,0.291806852,1.150887125,7.882241136,7.59025967,-0.294167045,1.702174045
F3,2.478984148,3.082157807,13.48880268,-1.924262568,-1.57758275,-7.458948057,2.478984148,3.082157807,-0.577538136,5.598253886,-0.544320886,5.684349602,2.478984148,3.082157807,9.647408216,8.528080795,-3.708818943,1.796295784
F4,3.048630045,3.303878023,14.16198315,-1.298563432,-1.635573455,-7.438227045,3.048630045,3.303878023,-0.585247739,5.616736307,-0.403855307,5.837121068,3.048630045,3.303878023,9.96519017,8.398078841,-3.370247023,1.554225761
F5,3.051835523,3.319993648,13.63582426,-1.391585943,-0.861944909,-7.3993915,3.051835523,3.319993648,-0.577427705,5.631189636,-0.291875602,6.051024023,3.051835523,3.319993648,10.66676531,9.374621625,-4.754404955,1.440869159
PYT,3.087514898,3.641309807,13.78544542,-2.794901739,-0.284122682,-7.742813955,3.087514898,3.641309807,-0.468310659,5.757110716,0.083466773,6.472252443,3.087514898,3.641309807,11.52763636,8.032510602,-5.106700511,1.95454758
AYT,3.831318364,3.91329942,9.751893193,-3.486861023,-0.858433386,-8.042134943,3.831318364,3.91329942,-0.585609727,6.739342443,0.133782148,7.066367932,3.831318364,3.91329942,12.74589406,8.15533633,-9.365643193,1.232245545
Variety,6.958385318,5.215443443,12.5489192,-4.772475841,-2.90511167,-7.905742841,6.958385318,5.215443443,-0.866504068,8.358305011,0.920006,7.383131239,6.958385318,5.215443443,15.5196878,10.19350777,-6.101787818,-2.334179273
