Gen,Control_F2,Control_F5,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,Control_F2,Control_F5,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,Control_F2,Control_F5,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NewParents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,0.042020063,0.003136986,0.127656094,0.154965741,0.01405598,0,0.042020063,0.003136986,0.032059278,0.117711162,0,0.000388636,0.042020063,0.003136986,0.098684881,0.123362915,0.054148841,0.005008125
F2,0.07153517,0.01201379,0.076279457,0.166486551,0.016182801,0.004644179,0.07153517,0.01201379,0.032276898,0.135172227,0.008740091,0.020477804,0.07153517,0.01201379,0.093364653,0.115309858,0.064855892,0.028860997
F3,0.135018486,0.10323623,0.134563364,1.185615784,0.638838153,0.151851793,0.135018486,0.10323623,0.108494489,0.367305418,0.017770347,0.059247128,0.135018486,0.10323623,0.275337784,0.341011227,0.247615304,0.16513829
F4,0.155779849,0.172523983,0.436035384,1.464429946,0.722590551,0.16193642,0.155779849,0.172523983,0.183416028,0.474040134,0.059080048,0.129849741,0.155779849,0.172523983,0.628550778,1.039101188,0.510145057,0.272203994
F5,0.32076508,0.336343824,1.46905656,1.472510438,1.010350466,0.201093494,0.32076508,0.336343824,0.227173534,0.593188935,0.224133682,0.563504276,0.32076508,0.336343824,0.502551537,1.336569767,0.52656479,0.209101875
PYT,0.389373273,0.574187216,3.421881571,3.174122361,0.473279037,0.213986284,0.389373273,0.574187216,0.339247926,1.061674151,0.097937182,0.976820216,0.389373273,0.574187216,0.73867927,1.61837683,1.235756003,0.430747526
AYT,1.262297148,0.734477625,4.043088852,4.048691574,0.456863207,0.574887912,1.262297148,0.734477625,0.496477526,1.528570338,0.175895344,0.425287449,1.262297148,0.734477625,1.616459514,1.35850327,2.003283094,0.937859455
Variety,0.237056335,1.298837881,13.16570637,7.847950193,2.914107034,1.003331736,0.237056335,1.298837881,1.207470315,7.526461134,0.929930233,2.149134179,0.237056335,1.298837881,6.572183489,7.668200165,9.367067983,2.715995991
