Gen,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
NewParents,0.056024847,0.044454236,0.024656948,-0.041142181,-0.002745233,-0.03146646,0.742397956,0.854608294,-0.006504905,0.040114176,0.329858028,0.319347361
F2,0.054232289,0.031844194,0.001472884,0.026850017,-0.009363351,0.020252335,0.028557734,0.035838415,0.055366119,-0.023194549,0.011191037,0.013285864
F3,0.009038135,0.012954212,-0.000484014,0.038791683,-0.00807486,0.006684094,0.011419999,0.002930072,2.61E-02,-0.011524511,0.006390498,0.021444771
F4,-0.014255938,0.004030965,0.031465055,0.017098267,0.001237266,-0.041780349,0.029475384,-0.000263802,0.032973253,-0.059576542,-0.0570025,-0.010683436
F5,-0.038249694,0.03348556,5.56E-05,0.066983608,0.030222566,-0.066632908,0.000976112,0.084553404,-0.004468504,0.021310858,-0.030265212,0.046522802
PYT,-0.065020349,0.062177183,-0.02909902,-0.048560458,-0.0796768,0.017270559,-0.027153246,-0.025586511,-0.060145346,0.026075533,0.078106604,-0.006351555
AYT,-0.106341905,-0.121110879,-0.011854699,-0.039141046,0.036019994,-0.019626683,0.17504354,0.041784899,0.036318714,-0.119433156,0.0468908,-0.040093709
NewParents,0.054232289,0.031844194,0.001472884,0.026850017,-0.009363351,0.020252335,0.028557734,0.035838415,0.055366119,-0.023194549,0.011191037,0.013285864
F2,-0.003951419,0.001919086,0.003346748,-0.005459393,0.012348057,0.011145611,0.019033363,0.006355521,-0.000249419,0.00340705,0.002774407,0.010864138
F3,0.0059761,0.006851427,0.01470683,-0.000631933,0.027155932,0.002105708,0.016695441,0.015150567,-0.001930218,-0.000759879,-0.001427424,0.019750383
F4,-0.066064319,0.003569993,-0.002518222,0.018551085,0.011273472,0.027151705,0.055825649,-0.005448421,-0.01521924,0.031950929,-0.011999868,0.029610267
F5,-0.042260686,-0.027787251,0.094743476,-0.059184548,-0.007662084,-0.03160762,-0.028395045,0.017799299,-0.034177762,-0.011765515,0.017074684,0.00545533
PYT,-0.017963836,-0.004433659,-0.015159668,0.053669768,-0.049991385,-0.043736162,0.034892898,-0.018288602,0.020267213,-0.023989183,-0.022543161,0.028080709
AYT,0.078766329,0.102218513,-0.045100479,0.007211646,-0.028065608,0.146624167,-0.042082376,-0.035829412,0.016632164,0.023482354,0.113204712,-0.03326424
NewParents,-0.003951419,0.001919086,0.003346748,-0.005459393,0.012348057,0.011145611,0.019033363,0.006355521,-0.000249419,0.00340705,0.002774407,0.010864138
F2,-0.001389329,-0.004394587,0.002144662,-0.002046134,-0.007201678,0.001674867,0.007036315,0.003364081,-0.00673838,-0.002563098,-0.001830461,-0.001624357
F3,-0.002590666,-0.001459223,0.004704084,0.012788154,-0.005821339,-0.00961049,0.007804208,0.001026661,0.024005796,-0.007461174,0.028327474,-0.010064371
F4,-0.005419424,-0.005516748,0.001897291,-0.049474004,-0.063616063,0.026405589,0.01909016,-0.013755397,0.047117414,-0.037048032,0.065792033,-0.031228905
F5,-0.048987464,-0.038021604,0.004763444,-0.002534671,0.011352867,-0.040229038,0.032712453,0.005310009,0.005490442,-0.03019032,0.019291515,0.032224458
PYT,-0.005239836,-0.007799943,-0.047911066,-0.051822175,0.006320265,-0.014565546,0.013732782,-0.011049056,-0.018285784,-0.013167862,-0.011597655,-0.080256106
AYT,0.086659969,0.013613524,-0.002958324,0.016217193,-0.01421631,-0.016736832,-0.065377848,0.030905978,-0.095938738,-0.009679201,0.059213532,-0.011824303
