Gen,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
NewParents,0.101143285,0.003558373,0.050042902,0.05817187,0.025170998,0.082777967,0.068178402,0.088902599,0.013415102,0.021409315,0.102009235,0.073102704
F2,0.054776028,0.023397162,0.027169493,0.023421531,0.024835782,0.048372803,0.058497785,0.06971505,0.102229099,0.047736672,0.023409443,0.034153566
F3,0.112151481,0.028440657,0.035140721,0.051904465,0.041863277,0.031404327,0.068569903,0.054831571,0.082386118,0.036222222,0.027850817,0.048044255
F4,0.148766195,0.082702697,0.070318766,0.132692332,0.081114655,0.079030479,0.103093021,0.073052194,0.148651432,0.054174905,0.082540688,0.073199538
F5,0.19290499,0.117934195,0.115199411,0.081921787,0.104822105,0.138647852,0.184716028,0.113458215,0.099615432,0.0762023,0.099039674,0.094056153
PYT,0.240486984,0.153106358,0.101664334,0.102504168,0.136585701,0.0923597,0.138822485,0.124640039,0.176760489,0.110506139,0.173950185,0.123278349
AYT,0.086006486,0.164414542,0.177669101,0.218944286,0.179362932,0.160361438,0.204579966,0.155541522,0.188414675,0.157716286,0.170491193,0.230616606
NewParents,0.054776028,0.023397162,0.027169493,0.023421531,0.024835782,0.048372803,0.058497785,0.06971505,0.102229099,0.047736672,0.023409443,0.034153566
F2,0.044594725,0.013119511,0.016449196,0.012777607,0.037465522,0.037019329,0.068568545,0.021451559,0.030526812,0.028120571,0.011161751,0.026189001
F3,0.040601172,0.024510161,0.04302804,0.02122092,0.030702791,0.027606287,0.042666206,0.02558436,0.04653917,0.032769078,0.03540263,0.045120621
F4,0.097718473,0.109553187,0.099264987,0.088782377,0.090313449,0.074729484,0.10845579,0.090623137,0.079875386,0.11798037,0.089620739,0.083317287
F5,0.084734373,0.087880976,0.086253125,0.103094639,0.077338367,0.08435537,0.126586755,0.05446651,0.082483104,0.098430256,0.108454063,0.08608361
PYT,0.139703189,0.117446243,0.116213972,0.143415921,0.138369164,0.103749614,0.153075814,0.118309649,0.123210729,0.161504685,0.108117124,0.16750266
AYT,0.152235052,0.144943788,0.1836263,0.210685851,0.188688766,0.131613817,0.158619048,0.206128388,0.15790952,0.171271875,0.221047498,0.194267709
NewParents,0.044594725,0.013119511,0.016449196,0.012777607,0.037465522,0.037019329,0.068568545,0.021451559,0.030526812,0.028120571,0.011161751,0.026189001
F2,0.01879632,0.0121677,0.017628243,0.008943325,0.02229812,0.021602564,0.045626788,0.038023404,0.036804246,0.01960262,0.012851303,0.017271222
F3,0.023794995,0.040515043,0.035113324,0.041425322,0.045608314,0.026694746,0.036096838,0.028604579,0.079811185,0.017701562,0.032435606,0.034722999
F4,0.084057586,0.102046647,0.094507207,0.067647709,0.104610757,0.07332949,0.075545975,0.087712679,0.094242287,0.083511481,0.074258863,0.042380801
F5,0.10446415,0.119762769,0.125598831,0.08234572,0.075076363,0.09764329,0.101592011,0.093433209,0.092196918,0.088560069,0.108640602,0.110167464
PYT,0.097840224,0.143309313,0.147947441,0.143709876,0.11594537,0.106189566,0.102624637,0.167459569,0.162103892,0.111697639,0.101078739,0.200290634
AYT,0.175331888,0.217713662,0.13113844,0.131374955,0.168368053,0.168676202,0.16842074,0.1537009,0.160232528,0.242170903,0.150453292,0.150446063
