Gen,withF2_atF2_F2Parents,withF2_atF5_F2Parents,withF2_atF2_F5Parents,withF2_atF5_F5Parents,withF5_atF2_F2Parents,withF5_atF5_F2Parents,withF5_atF2_F5Parents,withF5_atF5_F5Parents,withF2_and_F5_atF2_F2Parents,withF2_and_F5_atF5_F2Parents,withF2_and_F5_atF2_F5Parents,withF2_and_F5_atF5_F5Parents
NewParents,0,0,0,0,0,0,0,0,0,0,0,0
F2,0.030186099,0.030060321,0.013920621,0.014802337,0.033672516,0.021161621,0.011749058,0.010578254,0.023754728,0.027994154,0.014505898,0.006385839
F3,0.013711903,0.057985755,0.051504779,0.053630434,0.033848371,0.033689913,0.020679543,0.020802365,0.04589154,0.04485923,0.046285145,0.037891749
F4,0.027542349,0.093854218,0.073122057,0.116327804,0.112940281,0.100862034,0.117658724,0.11266471,0.139028265,0.07972748,0.092824437,0.106983979
F5,0.090584465,0.054976097,0.164783275,0.122299393,0.130492966,0.108059881,0.112832862,0.109381338,0.082007728,0.117880437,0.08638804,0.06138249
PYT,0.185494547,0.102140949,0.13468882,0.095690046,0.141624751,0.171076749,0.112122994,0.218221201,0.146601855,0.167704375,0.178367164,0.117141765
AYT,0.193139674,0.132141718,0.151401197,0.18441393,0.124868982,0.205498,0.20214152,0.230658025,0.154294452,0.205916443,0.208574513,0.164013957
NewParents,0.030186099,0.030060321,0.013920621,0.014802337,0.033672516,0.021161621,0.011749058,0.010578254,0.023754728,0.027994154,0.014505898,0.006385839
F2,0.331905027,0.055890048,0.276661033,0.09109822,0.213534361,0.044799068,0.180291779,0.076609146,0.154940948,0.064175029,0.24407429,0.060990046
F3,0.077351634,0.082813012,0.28854673,0.087694098,0.195417367,0.052091709,0.170348652,0.144586491,0.071825204,0.063358402,0.174253233,0.068778037
F4,0.127838431,0.148528737,0.331538579,0.138163499,0.209892389,0.117785638,0.202479927,0.208741855,0.146205159,0.072638322,0.18863029,0.121549278
F5,0.223554509,0.292939641,0.191049512,0.232435112,0.195371398,0.218596459,0.175293177,0.264931053,0.180594576,0.094470675,0.215517652,0.313036512
PYT,0.263058188,0.269418616,0.176075982,0.261391854,0.340807355,0.239674373,0.494053188,0.338589606,0.179625938,0.21484229,0.29166838,0.35263
AYT,0.173126498,0.198711935,0.190628984,0.143622496,0.168886075,0.193345035,0.153597815,0.126985324,0.226250851,0.20871289,0.191556548,0.158969231
NewParents,0.331905027,0.055890048,0.276661033,0.09109822,0.213534361,0.044799068,0.180291779,0.076609146,0.154940948,0.064175029,0.24407429,0.060990046
F2,0.143439204,0.241978569,0.336856941,0.165077919,0.247459209,0.372239162,0.374676028,0.12389566,0.174416221,0.175611095,0.27565571,0.104925809
F3,0.054407585,0.150279094,0.121589803,0.095369884,0.148521584,0.31127634,0.40449265,0.172800911,0.091410876,0.072739552,0.203783504,0.061736402
F4,0.080698087,0.18363795,0.180018678,0.162874235,0.19229219,0.353783571,0.34887973,0.244309521,0.139169271,0.114952761,0.215555908,0.125580698
F5,0.110541242,0.158945697,0.19414013,0.206588826,0.191231785,0.186941459,0.243189189,0.306243141,0.120982521,0.203167076,0.144550925,0.35374108
PYT,0.341110327,0.158710883,0.19567695,0.121166797,0.138851494,0.147639449,0.245767719,0.384288249,0.132669179,0.239904034,0.169104942,0.186386782
AYT,0.330321058,0.154457349,0.153677025,0.144274001,0.20868555,0.19575224,0.170178854,0.098342939,0.196827411,0.18219434,0.17217309,0.20264572
