"","Location_code","Year","Taxa","CDBN_ID","Seq_ID","Race","SY","GH","SW","DM","DF","SF","LG","HI","PH","BM"
"1","CADV",2015,"CDBN_054_23ST_27","23ST_27","CDBN_054","Durango",1774.08,NA,329,NA,44,NA,NA,NA,NA,NA
"2","CADV",2015,"CDBN_351_Alpena","Alpena","CDBN_351","Mesoamerican",1908.48,NA,186,NA,49,NA,NA,NA,NA,NA
"3","CADV",2015,"CDBN_171_CELRK","CELRK","CDBN_171","Nueva Granada",871.36,NA,544,NA,38,NA,NA,NA,NA,NA
"4","CADV",2015,"CDBN_345_COSD_35","COSD_35","CDBN_345","Durango",1779.68,NA,363,NA,44,NA,NA,NA,NA,NA
"5","CADV",2015,"CDBN_332_COSD_7","COSD_7","CDBN_332","Durango",2347.52,NA,385,NA,43,NA,NA,NA,NA,NA
"6","CADV",2015,"CDBN_339_Dynasty","Dynasty","CDBN_339","Nueva Granada",1983.52,NA,545,NA,41,NA,NA,NA,NA,NA
"7","CADV",2015,"CDBN_067_ElDorado","ElDorado","CDBN_067","Durango",1432.48,NA,342,NA,47,NA,NA,NA,NA,NA
"8","CADV",2015,"CDBN_062_Fathom","Fathom","CDBN_062","Mesoamerican",1463.84,NA,207,NA,43,NA,NA,NA,NA,NA
"9","CADV",2015,"CDBN_068_Gypsy_Rose","Gypsy_Rose","CDBN_068","Durango",2610.72,NA,286,NA,49,NA,NA,NA,NA,NA
"10","CADV",2015,"CDBN_172_Majesty","Majesty","CDBN_172","Nueva Granada",921.76,NA,627,NA,42,NA,NA,NA,NA,NA
"11","CADV",2015,"CDBN_063_OAC_Inferno","OAC_Inferno","CDBN_063","Nueva Granada",1680,NA,542,NA,44,NA,NA,NA,NA,NA
"12","CADV",2015,"CDBN_095_Othello","Othello","CDBN_095","Durango",1696.8,NA,310,NA,39,NA,NA,NA,NA,NA
"13","CADV",2015,"CDBN_342_PT9_5_6","PT9_5_6","CDBN_342","Durango",2850.4,NA,350,NA,42,NA,NA,NA,NA,NA
"14","CADV",2015,"CDBN_069_Powderhorn","Powderhorn","CDBN_069","Durango",1646.4,NA,361,NA,41,NA,NA,NA,NA,NA
"15","CADV",2015,"CDBN_161_Rosie","Rosie","CDBN_161","Nueva Granada",1121.12,NA,494,NA,45,NA,NA,NA,NA,NA
"16","CADV",2015,"CDBN_059_SF103_8","SF103_8","CDBN_059","Durango",1678.88,NA,323,NA,42,NA,NA,NA,NA,NA
"17","CADV",2015,"CDBN_071_Snowdon","Snowdon","CDBN_071","Nueva Granada",1192.8,NA,566,NA,38,NA,NA,NA,NA,NA
"18","CADV",2015,"CDBN_310_T_39","T_39","CDBN_310","Mesoamerican",990.08,NA,205,NA,48,NA,NA,NA,NA,NA
"19","CADV",2015,"CDBN_060_Talon","Talon","CDBN_060","Nueva Granada",661.92,NA,495,NA,46,NA,NA,NA,NA,NA
"20","CADV",2015,"CDBN_061_Yeti","Yeti","CDBN_061","Nueva Granada",973.28,NA,523,NA,40,NA,NA,NA,NA,NA
"21","CADV",2015,"CDBN_349_Zenith","Zenith","CDBN_349","Mesoamerican",2038.4,NA,207,NA,49,NA,NA,NA,NA,NA
"22","COFC",2015,"CDBN_054_23ST_27","23ST_27","CDBN_054","Durango",1498.56,NA,NA,84,46,38,NA,NA,NA,NA
"23","COFC",2015,"CDBN_351_Alpena","Alpena","CDBN_351","Mesoamerican",2972.48,NA,NA,85,49,36,NA,NA,NA,NA
"24","COFC",2015,"CDBN_171_CELRK","CELRK","CDBN_171","Nueva Granada",1929.76,NA,NA,80,40,40,NA,NA,NA,NA
"25","COFC",2015,"CDBN_345_COSD_35","COSD_35","CDBN_345","Durango",3525.76,NA,NA,84,43,41,NA,NA,NA,NA
