"","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety"
"1",0.7,0.700277777777778,0.700166666666667,0.7165,0.748888888888889,0.770833333333333,0.844444444444444,0.911111111111111,0.666666666666667,0.7,0.700277777777778,0.700166666666667,0.7165,0.748888888888889,0.770833333333333,0.844444444444444,0.911111111111111,0.666666666666667,0.7,0.700277777777778,0.700166666666667,0.7165,0.748888888888889,0.770833333333333,0.844444444444444,0.911111111111111,0.666666666666667
"2",0.933333333333333,0.933333333333333,0.933388888888889,0.891,0.883333333333333,0.854166666666667,0.905555555555556,1,1,0.933333333333333,0.933333333333333,0.933388888888889,0.891,0.883333333333333,0.854166666666667,0.905555555555556,1,1,0.933333333333333,0.933333333333333,0.933388888888889,0.891,0.883333333333333,0.854166666666667,0.905555555555556,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",0.933333333333333,0.933333333333333,0.932111111111111,0.932,0.925555555555556,0.951388888888889,1,1,1,0.933333333333333,0.933333333333333,0.932111111111111,0.932,0.925555555555556,0.951388888888889,1,1,1,0.933333333333333,0.933333333333333,0.932111111111111,0.932,0.925555555555556,0.951388888888889,1,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",0.6,0.6,0.597736111111111,0.502666666666667,0.526666666666667,0.540277777777778,0.672222222222222,0.866666666666667,1,0.6,0.6,0.597736111111111,0.502666666666667,0.526666666666667,0.540277777777778,0.672222222222222,0.866666666666667,1,0.6,0.6,0.597736111111111,0.502666666666667,0.526666666666667,0.540277777777778,0.672222222222222,0.866666666666667,1
"7",0.9,0.8975,0.898458333333333,0.9645,0.974444444444444,0.969444444444444,0.955555555555556,0.911111111111111,1,0.9,0.8975,0.898458333333333,0.9645,0.974444444444444,0.969444444444444,0.955555555555556,0.911111111111111,1,0.9,0.8975,0.898458333333333,0.9645,0.974444444444444,0.969444444444444,0.955555555555556,0.911111111111111,1
"8",0.6,0.6,0.597805555555556,0.501333333333333,0.523333333333333,0.529166666666667,0.658333333333333,0.855555555555556,1,0.6,0.6,0.597805555555556,0.501333333333333,0.523333333333333,0.529166666666667,0.658333333333333,0.855555555555556,1,0.6,0.6,0.597805555555556,0.501333333333333,0.523333333333333,0.529166666666667,0.658333333333333,0.855555555555556,1
"9",0.6,0.6,0.596833333333333,0.501333333333333,0.531111111111111,0.538888888888889,0.655555555555556,0.855555555555556,1,0.6,0.6,0.596833333333333,0.501333333333333,0.531111111111111,0.538888888888889,0.655555555555556,0.855555555555556,1,0.6,0.6,0.596833333333333,0.501333333333333,0.531111111111111,0.538888888888889,0.655555555555556,0.855555555555556,1
"10",0.733333333333333,0.733333333333333,0.733416666666667,0.742833333333333,0.73,0.702777777777778,0.530555555555556,0.527777777777778,0.833333333333333,0.733333333333333,0.733333333333333,0.733416666666667,0.742833333333333,0.73,0.702777777777778,0.530555555555556,0.527777777777778,0.833333333333333,0.733333333333333,0.733333333333333,0.733416666666667,0.742833333333333,0.73,0.702777777777778,0.530555555555556,0.527777777777778,0.833333333333333
