"","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",0.933333333333333,0.933333333333333,0.932055555555556,0.966166666666667,0.961111111111111,0.95,1,1,1,0.933333333333333,0.933333333333333,0.932055555555556,0.966166666666667,0.961111111111111,0.95,1,1,1,0.933333333333333,0.933333333333333,0.932055555555556,0.966166666666667,0.961111111111111,0.95,1,1,1
"3",0.633333333333333,0.633888888888889,0.632611111111111,0.6615,0.632222222222222,0.618055555555556,0.536111111111111,0.505555555555556,0.5,0.633333333333333,0.633888888888889,0.632611111111111,0.6615,0.632222222222222,0.618055555555556,0.536111111111111,0.505555555555556,0.5,0.633333333333333,0.633888888888889,0.632611111111111,0.6615,0.632222222222222,0.618055555555556,0.536111111111111,0.505555555555556,0.5
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",0.566666666666667,0.561111111111111,0.561986111111111,0.502,0.548888888888889,0.597222222222222,0.686111111111111,0.722222222222222,0.666666666666667,0.566666666666667,0.561111111111111,0.561986111111111,0.502,0.548888888888889,0.597222222222222,0.686111111111111,0.722222222222222,0.666666666666667,0.566666666666667,0.561111111111111,0.561986111111111,0.502,0.548888888888889,0.597222222222222,0.686111111111111,0.722222222222222,0.666666666666667
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",0.6,0.599166666666667,0.599444444444444,0.518166666666667,0.551111111111111,0.647222222222222,0.65,0.805555555555556,0.666666666666667,0.6,0.599166666666667,0.599444444444444,0.518166666666667,0.551111111111111,0.647222222222222,0.65,0.805555555555556,0.666666666666667,0.6,0.599166666666667,0.599444444444444,0.518166666666667,0.551111111111111,0.647222222222222,0.65,0.805555555555556,0.666666666666667
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11",0.833333333333333,0.832222222222222,0.833305555555556,0.874666666666667,0.876666666666667,0.873611111111111,0.897222222222222,1,1,0.833333333333333,0.832222222222222,0.833305555555556,0.874666666666667,0.876666666666667,0.873611111111111,0.897222222222222,1,1,0.833333333333333,0.832222222222222,0.833305555555556,0.874666666666667,0.876666666666667,0.873611111111111,0.897222222222222,1,1
"12",0.833333333333333,0.833333333333333,0.834444444444444,0.876666666666667,0.877777777777778,0.873611111111111,0.902777777777778,1,1,0.833333333333333,0.833333333333333,0.834444444444444,0.876666666666667,0.877777777777778,0.873611111111111,0.902777777777778,1,1,0.833333333333333,0.833333333333333,0.834444444444444,0.876666666666667,0.877777777777778,0.873611111111111,0.902777777777778,1,1
"13",0.833333333333333,0.835277777777778,0.835819444444444,0.879166666666667,0.882222222222222,0.881944444444444,0.888888888888889,1,1,0.833333333333333,0.835277777777778,0.835819444444444,0.879166666666667,0.882222222222222,0.881944444444444,0.888888888888889,1,1,0.833333333333333,0.835277777777778,0.835819444444444,0.879166666666667,0.882222222222222,0.881944444444444,0.888888888888889,1,1
"14",0.666666666666667,0.666666666666667,0.666930555555556,0.581166666666667,0.597777777777778,0.665277777777778,0.566666666666667,0.55,0.666666666666667,0.666666666666667,0.666666666666667,0.666930555555556,0.581166666666667,0.597777777777778,0.665277777777778,0.566666666666667,0.55,0.666666666666667,0.666666666666667,0.666666666666667,0.666930555555556,0.581166666666667,0.597777777777778,0.665277777777778,0.566666666666667,0.55,0.666666666666667
"15",0.833333333333333,0.835833333333333,0.835861111111111,0.777666666666667,0.787777777777778,0.801388888888889,0.830555555555556,0.811111111111111,1,0.833333333333333,0.835833333333333,0.835861111111111,0.777666666666667,0.787777777777778,0.801388888888889,0.830555555555556,0.811111111111111,1,0.833333333333333,0.835833333333333,0.835861111111111,0.777666666666667,0.787777777777778,0.801388888888889,0.830555555555556,0.811111111111111,1
"16",0.766666666666667,0.766111111111111,0.766027777777778,0.876333333333333,0.878888888888889,0.886111111111111,0.905555555555556,0.811111111111111,1,0.766666666666667,0.766111111111111,0.766027777777778,0.876333333333333,0.878888888888889,0.886111111111111,0.905555555555556,0.811111111111111,1,0.766666666666667,0.766111111111111,0.766027777777778,0.876333333333333,0.878888888888889,0.886111111111111,0.905555555555556,0.811111111111111,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",0.933333333333333,0.933333333333333,0.933902777777778,0.964166666666667,0.958888888888889,1,1,1,1,0.933333333333333,0.933333333333333,0.933902777777778,0.964166666666667,0.958888888888889,1,1,1,1,0.933333333333333,0.933333333333333,0.933902777777778,0.964166666666667,0.958888888888889,1,1,1,1
"19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",0.8,0.799444444444444,0.798305555555556,0.824166666666667,0.813333333333333,0.826388888888889,0.922222222222222,0.922222222222222,1,0.8,0.799444444444444,0.798305555555556,0.824166666666667,0.813333333333333,0.826388888888889,0.922222222222222,0.922222222222222,1,0.8,0.799444444444444,0.798305555555556,0.824166666666667,0.813333333333333,0.826388888888889,0.922222222222222,0.922222222222222,1
"23",0.666666666666667,0.67,0.666444444444444,0.654,0.648888888888889,0.609722222222222,0.633333333333333,0.566666666666667,0.666666666666667,0.666666666666667,0.67,0.666444444444444,0.654,0.648888888888889,0.609722222222222,0.633333333333333,0.566666666666667,0.666666666666667,0.666666666666667,0.67,0.666444444444444,0.654,0.648888888888889,0.609722222222222,0.633333333333333,0.566666666666667,0.666666666666667
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25",0.733333333333333,0.733333333333333,0.735111111111111,0.677166666666667,0.683333333333333,0.684722222222222,0.644444444444444,0.827777777777778,1,0.733333333333333,0.733333333333333,0.735111111111111,0.677166666666667,0.683333333333333,0.684722222222222,0.644444444444444,0.827777777777778,1,0.733333333333333,0.733333333333333,0.735111111111111,0.677166666666667,0.683333333333333,0.684722222222222,0.644444444444444,0.827777777777778,1
"26",0.733333333333333,0.733333333333333,0.734972222222222,0.674666666666667,0.675555555555556,0.681944444444444,0.647222222222222,0.838888888888889,1,0.733333333333333,0.733333333333333,0.734972222222222,0.674666666666667,0.675555555555556,0.681944444444444,0.647222222222222,0.838888888888889,1,0.733333333333333,0.733333333333333,0.734972222222222,0.674666666666667,0.675555555555556,0.681944444444444,0.647222222222222,0.838888888888889,1
"27",0.733333333333333,0.733333333333333,0.734902777777778,0.672,0.661111111111111,0.668055555555556,0.630555555555556,0.822222222222222,1,0.733333333333333,0.733333333333333,0.734902777777778,0.672,0.661111111111111,0.668055555555556,0.630555555555556,0.822222222222222,1,0.733333333333333,0.733333333333333,0.734902777777778,0.672,0.661111111111111,0.668055555555556,0.630555555555556,0.822222222222222,1
"28",0.666666666666667,0.666666666666667,0.668416666666667,0.6435,0.627777777777778,0.670833333333333,0.630555555555556,0.833333333333333,1,0.666666666666667,0.666666666666667,0.668416666666667,0.6435,0.627777777777778,0.670833333333333,0.630555555555556,0.833333333333333,1,0.666666666666667,0.666666666666667,0.668416666666667,0.6435,0.627777777777778,0.670833333333333,0.630555555555556,0.833333333333333,1
"29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",0.8,0.802777777777778,0.8045,0.798166666666667,0.794444444444444,0.794444444444444,0.716666666666667,0.927777777777778,1,0.8,0.802777777777778,0.8045,0.798166666666667,0.794444444444444,0.794444444444444,0.716666666666667,0.927777777777778,1,0.8,0.802777777777778,0.8045,0.798166666666667,0.794444444444444,0.794444444444444,0.716666666666667,0.927777777777778,1
"31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
